Datetime,Open,High,Low,Close,Adj Close,Volume,20SMA,BollingerU,BollingerL,RSI,MA20,MA5
2021-10-22 00:00:00+01:00,62480.38671875,62529.60546875,62438.16796875,62438.16796875,62438.16796875,0,,,,,,
2021-10-22 00:05:00+01:00,62403.3203125,62436.37890625,62403.3203125,62436.37890625,62436.37890625,0,,,,,,
2021-10-22 00:10:00+01:00,62472.390625,62696.609375,62408.46875,62696.609375,62696.609375,104841216,,,,,,
2021-10-22 00:15:00+01:00,62649.546875,62657.59375,62519.6328125,62519.6328125,62519.6328125,30498816,,,,,,
2021-10-22 00:20:00+01:00,62483.640625,62483.640625,62365.6953125,62365.6953125,62365.6953125,0,,,,,,62491.296875
2021-10-22 00:25:00+01:00,62270.9765625,62368.65625,62117.41015625,62368.65625,62368.65625,210411520,,,,,,62477.39453125
2021-10-22 00:30:00+01:00,62307.2109375,62421.98046875,62307.2109375,62421.98046875,62421.98046875,0,,,,,,62474.51484375
2021-10-22 00:35:00+01:00,62394.65234375,62577.359375,62394.65234375,62569.72265625,62569.72265625,43188224,,,,,,62449.1375
2021-10-22 00:40:00+01:00,62501.5859375,62501.5859375,62439.8125,62468.62890625,62468.62890625,162177024,,,,,,62438.93671875
2021-10-22 00:45:00+01:00,62484.04296875,62555.80859375,62442.3046875,62442.3046875,62442.3046875,0,,,,,,62454.25859375
2021-10-22 00:50:00+01:00,62414.82421875,62414.82421875,62332.17578125,62385.16796875,62385.16796875,0,,,,,,62457.5609375
2021-10-22 00:55:00+01:00,62303.25,62303.25,62210.171875,62210.171875,62210.171875,0,,,,,,62415.19921875
2021-10-22 01:00:00+01:00,62237.890625,62424.953125,62171.26953125,62424.953125,62424.953125,226242560,,,,,,62386.2453125
2021-10-22 01:05:00+01:00,62434.25,62775.40625,62434.25,62775.40625,62775.40625,163762176,,,,,,62447.60078125
2021-10-22 01:10:00+01:00,62664.375,62664.375,62288.54296875,62288.54296875,62288.54296875,101474304,,,,44.872654951141165,,62416.8484375
2021-10-22 01:15:00+01:00,62447.00390625,62447.00390625,62184.46484375,62320.6015625,62320.6015625,56897536,,,,46.00836589253109,,62403.93515625
2021-10-22 01:20:00+01:00,62297.70703125,62570.7421875,62297.70703125,62544.50390625,62544.50390625,134590464,,,,53.252088351137175,,62470.8015625
